SSN,Is Member
666719880,TRUE
666657072,TRUE
666618825,TRUE
666123666,TRUE
666595983,TRUE
666271230,TRUE
666499491,TRUE
666413805,TRUE
666045837,TRUE
666727020,TRUE
666044886,TRUE
666020682,TRUE
666617718,TRUE
666325038,TRUE
666424713,TRUE
666235038,TRUE
666579273,TRUE
666651315,TRUE
666360090,TRUE
666179358,TRUE
666492948,TRUE
666326004,TRUE
666442257,TRUE
666188052,TRUE
666411537,TRUE
666261744,TRUE
666305133,TRUE
666550902,TRUE
666548715,TRUE
666101961,TRUE
666238836,TRUE
666362331,TRUE
666161724,TRUE
666267046,TRUE
666628410,TRUE
666607722,TRUE
666321954,TRUE
666581031,TRUE
666363309,TRUE
666348072,TRUE
666201342,TRUE
666296592,TRUE
666446652,TRUE
666385572,TRUE
666413871,TRUE
666247310,TRUE
666025914,TRUE
666423681,TRUE
666645480,TRUE
666377100,TRUE
666462933,TRUE
666657354,TRUE
666769176,TRUE
666388347,TRUE
666260178,TRUE
666376488,TRUE
666018765,TRUE
666368640,TRUE
666019737,TRUE
666087420,TRUE
666247188,TRUE
666227136,TRUE
666231501,TRUE
666089853,TRUE
666539064,TRUE
666661617,TRUE
666492546,TRUE
666100461,TRUE
666308127,TRUE
666501903,TRUE
666264729,TRUE
666237105,TRUE
666182850,TRUE
666659601,TRUE
666169524,TRUE
666183903,TRUE
666364125,TRUE
666603630,TRUE
666564780,TRUE
666053655,TRUE
666503094,TRUE
666520779,TRUE
666194187,TRUE
666495570,TRUE
666471249,TRUE
666172278,TRUE
666779148,TRUE
666264142,TRUE
666265236,TRUE
666118632,TRUE
666268746,TRUE
666583089,TRUE
666495678,TRUE
666220345,TRUE
666540210,TRUE
666391230,TRUE
666206281,TRUE
666273186,TRUE
666308031,TRUE
666105546,TRUE
666139128,TRUE
666632244,TRUE
666311010,TRUE
666097800,TRUE
666470190,TRUE
666519828,TRUE
666620385,TRUE
666508812,TRUE
666266526,TRUE
666279705,TRUE
666264690,TRUE
666370620,TRUE
666188673,TRUE
666540549,TRUE
666231432,TRUE
666081117,TRUE
666421917,TRUE
666165682,TRUE
666133974,TRUE
666261054,TRUE
666612501,TRUE
666204057,TRUE
666703791,TRUE
666199428,TRUE
666606291,TRUE
666030933,TRUE
666359868,TRUE
666336525,TRUE
666509916,TRUE
666729810,TRUE
666207579,TRUE
666529749,TRUE
666460140,TRUE
666660087,TRUE
666645920,TRUE
666347244,TRUE
666129360,TRUE
666548115,TRUE
666580896,TRUE
666449029,TRUE
666559236,TRUE
666718389,TRUE
666497460,TRUE
666550548,TRUE
666589332,TRUE
666368193,TRUE
666712962,TRUE
666174837,TRUE
666598167,TRUE
666527304,TRUE
666299892,TRUE
666523068,TRUE
666282863,TRUE
666357072,TRUE
666247623,TRUE
666297129,TRUE
666440487,TRUE
666248952,TRUE
666074913,TRUE
666163849,TRUE
666303420,TRUE
666528618,TRUE
666371130,TRUE
666463575,TRUE
666735843,TRUE
666170136,TRUE
666429453,TRUE
666713625,TRUE
666527852,TRUE
666339303,TRUE
666232332,TRUE
666560544,TRUE
666229281,TRUE
666593868,TRUE
666516945,TRUE
666963062,TRUE
666335283,TRUE
666211785,TRUE
666170079,TRUE
666421761,TRUE
666290769,TRUE
666727809,TRUE
666269973,TRUE
666699852,TRUE
666306726,TRUE
666516720,TRUE
666424923,TRUE
666024549,TRUE
666727020,TRUE
666719880,TRUE
666701148,TRUE
666660198,TRUE
666657072,TRUE
666651909,TRUE
666651315,TRUE
666628410,TRUE
666620880,TRUE
666618825,TRUE
666617718,TRUE
666607722,TRUE
666595983,TRUE
666581031,TRUE
666579273,TRUE
666556935,TRUE
666550902,TRUE
666548715,TRUE
666548277,TRUE
666511779,TRUE
666502743,TRUE
666499491,TRUE
666492948,TRUE
666442257,TRUE
666424713,TRUE
666413805,TRUE
666411537,TRUE
666362331,TRUE
666360090,TRUE
666326004,TRUE
666325038,TRUE
666321954,TRUE
666305133,TRUE
666271230,TRUE
666267046,TRUE
666261744,TRUE
666238836,TRUE
666235038,TRUE
666188052,TRUE
666179358,TRUE
666167027,TRUE
666161724,TRUE
666153480,TRUE
666123666,TRUE
666115989,TRUE
666101961,TRUE
666095250,TRUE
666045837,TRUE
666044886,TRUE
666033216,TRUE
666020682,TRUE
